stroke_id,start_x,start_y,end_x,end_y
0,0.000000,1.000000,-611.000000,563.000000
1,-615.000000,564.000000,-997.000000,1017.000000
2,-995.000000,1017.000000,-1147.000000,880.000000
3,-1149.000000,886.000000,-588.000000,456.000000
4,-585.000000,447.000000,-664.000000,767.000000
5,-656.000000,292.000000,-809.000000,283.000000
6,-991.000000,316.000000,-576.000000,438.000000
7,-577.000000,438.000000,-595.000000,752.000000
8,-595.000000,754.000000,-258.000000,825.000000
9,-1083.000000,215.000000,-952.000000,483.000000
10,-390.000000,477.000000,-101.000000,668.000000
11,-1596.000000,511.000000,-1583.000000,753.000000
12,-1582.000000,770.000000,-1579.000000,701.000000
13,-1580.000000,700.000000,-1601.000000,593.000000
14,-1599.000000,597.000000,-1378.000000,330.000000
15,-1375.000000,329.000000,-117.000000,823.000000
16,-1042.000000,551.000000,-1043.000000,773.000000
17,-626.000000,534.000000,-427.000000,756.000000
18,-428.000000,755.000000,-905.000000,938.000000
19,-1067.000000,785.000000,-739.000000,864.000000
20,-737.000000,862.000000,-678.000000,884.000000
21,-670.000000,887.000000,-1103.000000,820.000000
22,-1104.000000,821.000000,-877.000000,842.000000
23,-859.000000,844.000000,-696.000000,887.000000
24,-693.000000,883.000000,-527.000000,780.000000
25,-528.000000,779.000000,-769.000000,752.000000
26,-771.000000,752.000000,-783.000000,957.000000
27,-781.000000,956.000000,-778.000000,617.000000
28,-780.000000,617.000000,-830.000000,617.000000
29,-857.000000,625.000000,-1007.000000,751.000000
30,-1006.000000,752.000000,-885.000000,910.000000
31,-889.000000,910.000000,-912.000000,832.000000
32,-913.000000,831.000000,-886.000000,563.000000
33,-888.000000,562.000000,-647.000000,804.000000
34,-656.000000,808.000000,-762.000000,595.000000
35,-766.000000,594.000000,-1212.000000,792.000000
36,-1213.000000,793.000000,-809.000000,968.000000
37,-808.000000,967.000000,-819.000000,945.000000
38,-819.000000,947.000000,-715.000000,953.000000
39,-722.000000,950.000000,-231.000000,710.000000
40,-237.000000,708.000000,-305.000000,722.000000
41,-19.000000,121.000000,-453.000000,525.000000
42,-452.000000,526.000000,-445.000000,575.000000
43,-444.000000,576.000000,-392.000000,733.000000
44,-393.000000,734.000000,-743.000000,346.000000
45,-743.000000,348.000000,-629.000000,768.000000
46,-630.000000,767.000000,-684.000000,615.000000
47,-684.000000,614.000000,-460.000000,790.000000
48,-462.000000,783.000000,-584.000000,789.000000
49,-590.000000,788.000000,-760.000000,776.000000
50,-757.000000,774.000000,-587.000000,791.000000
51,-587.000000,791.000000,-750.000000,780.000000
52,-751.000000,782.000000,-601.000000,776.000000
53,-604.000000,770.000000,-758.000000,590.000000
54,-752.000000,586.000000,-812.000000,596.000000
55,-814.000000,597.000000,-432.000000,765.000000
56,-431.000000,763.000000,-783.000000,588.000000
57,-785.000000,588.000000,-849.000000,589.000000
58,-889.000000,582.000000,-894.000000,791.000000
59,-893.000000,792.000000,-779.000000,930.000000
60,-778.000000,929.000000,-552.000000,792.000000
61,-566.000000,748.000000,-144.000000,783.000000
62,-144.000000,783.000000,-140.000000,675.000000
63,-141.000000,674.000000,-93.000000,818.000000
64,-98.000000,854.000000,-805.000000,708.000000
65,-467.000000,711.000000,-915.000000,950.000000
66,-915.000000,952.000000,-359.000000,455.000000
67,-1005.000000,814.000000,-736.000000,879.000000
68,-729.000000,885.000000,-1104.000000,801.000000
69,-1105.000000,803.000000,-862.000000,858.000000
70,-858.000000,859.000000,-726.000000,812.000000
71,-726.000000,801.000000,-726.000000,560.000000
72,-727.000000,561.000000,-530.000000,757.000000
73,-517.000000,740.000000,-793.000000,547.000000
74,-795.000000,547.000000,-861.000000,555.000000
75,-887.000000,555.000000,-780.000000,798.000000
76,-783.000000,801.000000,-762.000000,831.000000
77,-768.000000,830.000000,-641.000000,779.000000
78,-653.000000,790.000000,-896.000000,755.000000
79,-897.000000,755.000000,-665.000000,779.000000
80,-679.000000,716.000000,-683.000000,628.000000
81,-737.000000,631.000000,-486.000000,756.000000
82,-486.000000,751.000000,-953.000000,891.000000
83,-950.000000,888.000000,-825.000000,788.000000
84,-827.000000,785.000000,-743.000000,741.000000
85,-742.000000,742.000000,-818.000000,907.000000
86,-817.000000,908.000000,-730.000000,929.000000
87,-728.000000,928.000000,-839.000000,643.000000
88,-841.000000,643.000000,-905.000000,634.000000
89,-570.000000,181.000000,-916.000000,568.000000
90,-952.000000,576.000000,-715.000000,641.000000
91,-712.000000,641.000000,-521.000000,655.000000
92,-520.000000,655.000000,-268.000000,372.000000
93,-268.000000,372.000000,-204.000000,607.000000
94,4.000000,113.000000,-359.000000,365.000000
95,-361.000000,366.000000,-391.000000,753.000000
96,-390.000000,748.000000,-1077.000000,602.000000
97,-1078.000000,601.000000,-1182.000000,778.000000
98,-720.000000,805.000000,-774.000000,690.000000
99,-776.000000,689.000000,-952.000000,800.000000
100,-954.000000,800.000000,-834.000000,819.000000
101,-832.000000,817.000000,-850.000000,571.000000
102,-852.000000,571.000000,-835.000000,811.000000
103,-832.000000,808.000000,-719.000000,804.000000
104,-718.000000,805.000000,-614.000000,797.000000
105,-607.000000,791.000000,-152.000000,850.000000
106,-152.000000,848.000000,-154.000000,680.000000
107,-154.000000,680.000000,-109.000000,815.000000
108,-110.000000,816.000000,-1765.000000,700.000000
109,-1067.000000,783.000000,-762.000000,894.000000
110,-25.000000,121.000000,-442.000000,545.000000
111,-455.000000,534.000000,-371.000000,733.000000
112,-372.000000,734.000000,-894.000000,925.000000
113,-1022.000000,774.000000,-641.000000,867.000000
114,-639.000000,866.000000,-1061.000000,800.000000
115,-1060.000000,806.000000,-697.000000,914.000000
116,-698.000000,906.000000,-733.000000,603.000000
117,-735.000000,603.000000,-498.000000,777.000000
118,-497.000000,776.000000,-826.000000,580.000000
119,-828.000000,580.000000,-902.000000,568.000000
120,-904.000000,568.000000,-913.000000,623.000000
121,-911.000000,623.000000,-893.000000,726.000000
122,-894.000000,725.000000,-1006.000000,612.000000
123,-986.000000,601.000000,-636.000000,766.000000
124,-647.000000,757.000000,-756.000000,655.000000
125,-756.000000,653.000000,-742.000000,589.000000
126,-778.000000,597.000000,-446.000000,768.000000
127,-446.000000,768.000000,-759.000000,644.000000
128,-809.000000,649.000000,-746.000000,820.000000
129,-742.000000,821.000000,-736.000000,843.000000
130,-738.000000,844.000000,-955.000000,925.000000
131,-957.000000,924.000000,-937.000000,832.000000
132,-938.000000,829.000000,-841.000000,598.000000
133,-842.000000,596.000000,-1048.000000,800.000000
134,-1049.000000,800.000000,-919.000000,631.000000
135,-940.000000,634.000000,-789.000000,765.000000
136,-778.000000,762.000000,-959.000000,609.000000
137,-977.000000,610.000000,-599.000000,782.000000
138,-586.000000,787.000000,-541.000000,657.000000
139,-539.000000,656.000000,-398.000000,771.000000
140,-399.000000,772.000000,-694.000000,566.000000
141,-695.000000,565.000000,-794.000000,591.000000
142,-814.000000,598.000000,-703.000000,416.000000
143,-704.000000,417.000000,-903.000000,738.000000
144,-902.000000,738.000000,-905.000000,752.000000
145,-904.000000,751.000000,-892.000000,911.000000
146,-893.000000,910.000000,-690.000000,784.000000
147,-690.000000,784.000000,-658.000000,933.000000
148,-657.000000,932.000000,-850.000000,640.000000
149,-857.000000,595.000000,-661.000000,392.000000
150,-660.000000,391.000000,-852.000000,632.000000
151,-887.000000,630.000000,-662.000000,809.000000
152,-657.000000,831.000000,-533.000000,775.000000
153,-541.000000,772.000000,-596.000000,613.000000
154,-636.000000,627.000000,-365.000000,768.000000
155,-364.000000,768.000000,-749.000000,570.000000
156,-779.000000,571.000000,-506.000000,778.000000
157,-503.000000,781.000000,-164.000000,774.000000
158,-1264.000000,22.000000,-1046.000000,304.000000
159,-1046.000000,304.000000,-1040.000000,373.000000
160,-1074.000000,242.000000,-1501.000000,474.000000
161,-1502.000000,475.000000,-1160.000000,309.000000
162,-1160.000000,309.000000,-1338.000000,329.000000
163,-1298.000000,329.000000,-1165.000000,730.000000
164,-1173.000000,732.000000,-631.000000,702.000000
165,-633.000000,695.000000,-124.000000,812.000000
166,-9.000000,916.000000,-578.000000,912.000000
167,-567.000000,913.000000,-131.000000,330.000000
168,-1229.000000,37.000000,-988.000000,536.000000
169,-988.000000,539.000000,-980.000000,668.000000
170,-711.000000,479.000000,-877.000000,649.000000
171,-1098.000000,402.000000,-813.000000,423.000000
172,-824.000000,424.000000,-763.000000,554.000000
173,-1009.000000,380.000000,-663.000000,805.000000
174,-196.000000,370.000000,-631.000000,657.000000
175,-635.000000,657.000000,-829.000000,705.000000
176,-602.000000,801.000000,-658.000000,352.000000
177,-658.000000,351.000000,-701.000000,641.000000
178,-703.000000,645.000000,-927.000000,756.000000
179,-930.000000,757.000000,-1430.000000,536.000000
180,-1078.000000,408.000000,-624.000000,805.000000
181,-623.000000,804.000000,-612.000000,408.000000
182,-611.000000,409.000000,-601.000000,827.000000
183,-602.000000,828.000000,-831.000000,745.000000
184,-530.000000,900.000000,-579.000000,848.000000
185,-581.000000,847.000000,-612.000000,828.000000
186,-613.000000,829.000000,-865.000000,771.000000
187,-868.000000,771.000000,-973.000000,819.000000
188,-348.000000,605.000000,-357.000000,523.000000
189,-359.000000,522.000000,-990.000000,787.000000
190,-876.000000,374.000000,-353.000000,545.000000
191,-352.000000,545.000000,-574.000000,758.000000
192,-1578.000000,532.000000,-445.000000,370.000000
193,-444.000000,371.000000,-456.000000,524.000000
194,-455.000000,523.000000,-992.000000,819.000000
195,-29.000000,914.000000,-625.000000,691.000000
196,-626.000000,690.000000,-746.000000,344.000000
197,-481.000000,541.000000,-576.000000,754.000000
198,-1076.000000,497.000000,-166.000000,814.000000
199,-166.000000,814.000000,-790.000000,764.000000
200,-1499.000000,9.000000,-768.000000,285.000000
201,-769.000000,286.000000,-427.000000,657.000000
202,-425.000000,657.000000,-382.000000,620.000000
203,-381.000000,619.000000,-377.000000,473.000000
204,-376.000000,474.000000,-382.000000,560.000000
205,-382.000000,561.000000,-394.000000,485.000000
206,-393.000000,486.000000,-322.000000,468.000000
207,-321.000000,468.000000,-622.000000,791.000000
208,-622.000000,791.000000,-635.000000,707.000000
209,-636.000000,708.000000,-867.000000,404.000000
210,-796.000000,835.000000,-742.000000,719.000000
211,-72.000000,759.000000,-57.000000,929.000000
212,-196.000000,753.000000,-111.000000,916.000000
213,-842.000000,922.000000,-91.000000,940.000000
214,-89.000000,939.000000,-339.000000,841.000000
215,-340.000000,842.000000,-146.000000,939.000000
216,-145.000000,939.000000,-329.000000,871.000000
217,-329.000000,871.000000,-136.000000,916.000000
218,-687.000000,776.000000,-428.000000,556.000000
219,-429.000000,555.000000,-595.000000,641.000000
220,-599.000000,639.000000,-1080.000000,495.000000
221,-316.000000,675.000000,-214.000000,734.000000
222,-213.000000,732.000000,-280.000000,760.000000
223,-284.000000,764.000000,-398.000000,784.000000
224,-400.000000,784.000000,-1194.000000,1027.000000
225,-1193.000000,1025.000000,-919.000000,722.000000
226,-917.000000,722.000000,-840.000000,718.000000
227,-1690.000000,159.000000,-814.000000,400.000000
228,-819.000000,357.000000,-808.000000,328.000000
229,-807.000000,328.000000,-989.000000,1005.000000
230,-213.000000,587.000000,-981.000000,1014.000000
231,-980.000000,1014.000000,-694.000000,828.000000
232,-692.000000,828.000000,-264.000000,778.000000
233,-266.000000,778.000000,-413.000000,787.000000
234,-422.000000,799.000000,-332.000000,783.000000
235,-324.000000,783.000000,-422.000000,790.000000
236,-424.000000,791.000000,-306.000000,770.000000
237,-306.000000,770.000000,-399.000000,781.000000
238,-399.000000,781.000000,-676.000000,560.000000
239,-696.000000,665.000000,-181.000000,722.000000
240,-86.000000,154.000000,-1004.000000,415.000000
241,-565.000000,764.000000,-204.000000,360.000000
242,-204.000000,360.000000,-650.000000,664.000000
243,-651.000000,665.000000,-723.000000,735.000000
244,-83.000000,138.000000,-1049.000000,421.000000
245,-584.000000,788.000000,-396.000000,350.000000
246,-396.000000,350.000000,-640.000000,688.000000
247,-641.000000,687.000000,-392.000000,328.000000
248,-391.000000,329.000000,-675.000000,662.000000
249,-668.000000,660.000000,-764.000000,710.000000
250,-284.000000,114.000000,-370.000000,474.000000
251,-669.000000,487.000000,-1023.000000,809.000000
252,-1024.000000,807.000000,-964.000000,803.000000
253,-110.000000,890.000000,-723.000000,685.000000
254,-723.000000,683.000000,-721.000000,377.000000
255,-722.000000,378.000000,-74.000000,789.000000
256,-75.000000,788.000000,-511.000000,737.000000
257,-511.000000,737.000000,-134.000000,817.000000
258,-978.000000,341.000000,-490.000000,767.000000
259,-489.000000,766.000000,-556.000000,685.000000
260,-556.000000,684.000000,-792.000000,695.000000
261,-792.000000,695.000000,-322.000000,910.000000
262,-324.000000,910.000000,-1481.000000,416.000000
263,-1478.000000,425.000000,-620.000000,530.000000
264,-618.000000,529.000000,-379.000000,506.000000
265,-377.000000,506.000000,-548.000000,533.000000
266,-549.000000,534.000000,-667.000000,803.000000
267,-667.000000,803.000000,-819.000000,673.000000
268,-1685.000000,54.000000,-1166.000000,450.000000
269,-1165.000000,451.000000,-1497.000000,718.000000
270,-997.000000,54.000000,-250.000000,730.000000
271,-260.000000,727.000000,-285.000000,582.000000
272,-297.000000,450.000000,-323.000000,733.000000
273,-324.000000,733.000000,-357.000000,504.000000
274,-359.000000,501.000000,-965.000000,648.000000
275,-719.000000,630.000000,-1063.000000,652.000000
276,-1055.000000,651.000000,-738.000000,641.000000
277,-1508.000000,377.000000,-1502.000000,734.000000
278,-962.000000,56.000000,-1348.000000,434.000000
279,-1349.000000,435.000000,-1319.000000,499.000000
280,-1323.000000,584.000000,-319.000000,786.000000
281,-318.000000,785.000000,-415.000000,746.000000
282,-416.000000,744.000000,-436.000000,700.000000
283,-443.000000,548.000000,-473.000000,637.000000
284,-475.000000,637.000000,-412.000000,530.000000
285,-413.000000,530.000000,-431.000000,680.000000
286,-511.000000,661.000000,-440.000000,538.000000
287,-440.000000,538.000000,-1279.000000,637.000000
288,-1281.000000,637.000000,-1286.000000,700.000000
289,-1267.000000,718.000000,-1300.000000,589.000000
290,-1334.000000,622.000000,-1319.000000,552.000000
291,-1319.000000,552.000000,-1315.000000,706.000000
292,-1309.000000,734.000000,-1285.000000,741.000000
293,-1285.000000,741.000000,-1267.000000,686.000000
294,-1271.000000,681.000000,-1271.000000,610.000000
295,-1273.000000,608.000000,-1283.000000,549.000000
296,-1283.000000,549.000000,-1288.000000,615.000000
297,-1293.000000,571.000000,-1293.000000,624.000000
298,-1293.000000,624.000000,-1301.000000,612.000000
299,-1303.000000,612.000000,-1286.000000,590.000000
300,-1284.000000,590.000000,-1247.000000,516.000000
301,-1253.000000,513.000000,-1279.000000,420.000000
302,-528.000000,642.000000,-458.000000,110.000000
303,-458.000000,110.000000,-372.000000,745.000000
304,-371.000000,744.000000,-461.000000,293.000000
305,-461.000000,288.000000,-304.000000,706.000000
306,-304.000000,706.000000,-312.000000,686.000000
307,-321.000000,693.000000,142.000000,762.000000
308,140.000000,753.000000,24.000000,744.000000
309,-394.000000,386.000000,-30.000000,651.000000
310,-1661.000000,18.000000,-1088.000000,475.000000
311,-1088.000000,477.000000,-1129.000000,529.000000
312,-1129.000000,541.000000,-1116.000000,599.000000
313,-1114.000000,603.000000,-1176.000000,1009.000000
314,-949.000000,207.000000,-529.000000,-23.000000
